Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,country
54 Queens Gate Kensington and Chelsea London SW7 5JW United Kingdom,8/2/2017,8.2,Fifty Four Boutique Hotel, United Kingdom ,129,684,20,4,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.4963008,-0.1796853,United Kingdom
54 rue Pierre Charron 8th arr 75008 Paris France,7/16/2017,8.5,Chateau Frontenac, Australia ,17,858,23,2,7.9,"[' Leisure trip ', ' Family with young children ', ' Classic Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",18 days,48.8689468,2.3026559,France
54 Rue Saint Louis En L Ile 4th arr 75004 Paris France,7/11/2017,8.7,H tel Du Jeu De Paume, United States of America ,19,312,25,5,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 5 nights ']",23 days,48.8520377,2.3557092,France
54 Upper Berkeley Street Westminster Borough London W1H 7QR United Kingdom,7/21/2017,8.5,The Sumner Hotel, United States of America ,148,762,10,1,6.7,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 4 nights ']",13 days,51.5152892,-0.160898,United Kingdom
54 Uxbridge Road Shepherds Bush Hammersmith and Fulham London W12 8LP United Kingdom,8/2/2017,8.7,W12 Rooms, New Zealand ,29,900,28,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",1 days,51.5045326,-0.2191174,United Kingdom
55 57 Avenue Raymond Poincare 16th arr 75016 Paris France,4/18/2017,8.1,Renaissance Paris Le Parc Trocadero Hotel, Saudi Arabia ,33,94,0,2,8.3,"[' Leisure trip ', ' Group ', ' Prestige Room with Garden View Free WiFi ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",107 day,48.8673099,2.2856528,France
55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,3/17/2017,7.3,Shaftesbury Premier London Paddington, Nigeria ,41,3609,10,3,5.4,"[' Business trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 7 nights ']",139 day,51.5153672,-0.1783271,United Kingdom
55 Bld Rochechouart 9th arr 75009 Paris France,7/6/2017,7.8,Hotel Carlton s Montmartre, Netherlands ,5,559,37,11,7.5,"[' Business trip ', ' Solo traveler ', ' Classic Single Room ', ' Stayed 1 night ']",28 days,48.8819068,2.3410005,France
55 rue Monge 5th arr 75005 Paris France,7/10/2017,9.4,Hotel Monge, Australia ,41,386,7,3,8.3,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",24 days,48.8447938,2.3524462,France
56 57 Frith Street Westminster Borough London W1D 3JG United Kingdom,8/3/2017,8.3,Mimi s Hotel Soho, Australia ,29,687,13,4,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5140329,-0.1320651,United Kingdom
56 rue de Montorgueil 2nd arr 75002 Paris France,7/20/2017,7.5,Victoires Opera, United Kingdom ,62,273,19,4,4.6,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 3 nights ']",14 days,48.8648997,2.3469433,France
57 59 Welbeck Street Westminster Borough London W1G 9BL United Kingdom,8/2/2017,7.5,Holiday Inn London Oxford Circus, United Kingdom ,35,1287,13,8,7.9,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 1 night ']",1 days,51.516843,-0.1495574,United Kingdom
58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,8/2/2017,8.6,Dorsett Shepherds Bush, Guernsey ,37,2890,17,7,6.7,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1 days,51.5039399,-0.2244232,United Kingdom
59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,8/2/2017,7.6,New Linden Hotel, United Kingdom ,24,2820,12,2,6.7,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,51.5133832,-0.1926617,United Kingdom
6 8 Rue Duphot 1st arr 75001 Paris France,7/30/2017,9.1,Le Burgundy Paris, Belgium ,0,683,27,16,10.0,"[' Leisure trip ', ' Family with young children ', ' Classic Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",4 days,48.8680055,2.3260075,France
6 Avenue Fr miet 16th arr 75016 Paris France,4/27/2017,8.4,Hotel Sezz Paris, United Kingdom ,13,132,31,1,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",98 days,48.8566336,2.2852607,France
6 Avenue Montaigne 8th arr 75008 Paris France,7/27/2017,8.1,Hotel Montaigne, United Arab Emirates ,94,431,10,2,6.7,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",7 days,48.865467,2.3038811,France
6 Avenue Victor Hugo 16th arr 75116 Paris France,7/9/2017,7.0,Hotel Royal Elys es, Germany ,22,251,15,20,5.4,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",25 days,48.8729666,2.2926226,France
6 Boulevard Vincent Auriol 13th arr 75013 Paris France,7/11/2017,8.4,Mercure Paris Bercy Biblioth que, India ,62,1082,19,9,7.5,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room with Sofa Bed 3 Adults ', ' Stayed 2 nights ']",23 days,48.8370334,2.372322,France
6 Frith Street Soho Westminster Borough London W1D 3JA United Kingdom,8/2/2017,9.0,Hazlitt s, United Kingdom ,17,465,15,15,10.0,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 2 nights ']",1 days,51.5143447,-0.1318157,United Kingdom
6 Hercules Road Lambeth London SE1 7DP United Kingdom,8/3/2017,8.8,Park Plaza London Waterloo, Israel ,94,1489,48,16,7.9,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 6 nights ']",0 days,51.4982412,-0.1134715,United Kingdom
6 Holywell Lane Hackney London EC2A 3ET United Kingdom,8/3/2017,9.1,citizenM London Shoreditch, Spain ,10,2113,18,71,8.3,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",0 days,51.5241373,-0.0786983,United Kingdom
6 rue Balzac 8th arr 75008 Paris France,7/19/2017,8.3,H tel Balzac, United Kingdom ,32,694,14,1,5.8,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",15 days,48.8732785,2.3004174,France
6 Rue Blaise Desgoffe 6th arr 75006 Paris France,6/23/2017,8.3,Victoria Palace Hotel, United States of America ,15,100,22,10,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",41 days,48.8457587,2.3243071,France
6 rue Buffault 9th arr 75009 Paris France,7/31/2017,8.3,Hotel Eug ne en Ville, United Kingdom ,38,1093,0,3,10.0,"[' Leisure trip ', ' Group ', ' Superior Double Room with Terrace ', ' Stayed 1 night ']",3 days,48.8750119,2.3416769,France
6 rue Chauveau Lagarde 8th arr 75008 Paris France,8/3/2017,8.8,Newhotel Roblin, Australia ,40,1327,7,11,8.3,"[' Leisure trip ', ' Group ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",0 days,48.8714152,2.3239679,France
6 Rue Constance 18th arr 75018 Paris France,6/6/2017,9.3,Le Relais Montmartre, Belgium ,23,744,14,46,8.8,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 1 night ']",58 days,48.8854538,2.3335809,France
6 Rue de l Arcade 8th arr 75008 Paris France,7/28/2017,7.2,Amarante Beau Manoir, Iceland ,44,759,7,3,9.6,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room 2 Adults 1 Child ', ' Stayed 3 nights ']",6 days,48.870994,2.3235329,France
6 Rue De La Tour 16th arr 75016 Paris France,7/31/2017,8.7,Hotel Maison FL, Singapore ,0,417,27,6,9.2,"[' Leisure trip ', ' Family with young children ', ' Family Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",3 days,48.8396395,2.2663056,France
6 rue du General Lanrezac 17th arr 75017 Paris France,7/16/2017,8.7,Balmoral Champs Elys es, Singapore ,35,476,27,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",18 days,48.8759855,2.293938,France
6 rue du Helder 9th arr 75009 Paris France,8/1/2017,8.7,The Chess Hotel, United States of America ,10,1005,39,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2 days,48.8716017,2.3349768,France
6 rue Gustave Charpentier 17th arr 75017 Paris France,6/11/2017,8.5,AC Hotel Paris Porte Maillot by Marriott, United Kingdom ,20,403,23,6,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",53 days,48.8820046,2.2818538,France
6 Rue Lecluse 17th arr 75017 Paris France,8/1/2017,9.2,B Montmartre, United Kingdom ,20,332,174,1,10.0,"[' Leisure trip ', ' Group ', ' Privilege Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",2 days,48.883631,2.3257643,France
6 Rue Pierre Demours 17th arr 75017 Paris France,7/29/2017,9.1,H tel Regent s Garden, Switzerland ,104,552,10,1,6.3,"[' Leisure trip ', ' Couple ', ' Privilege Room with Hammam ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",5 days,48.8797513,2.2919634,France
6 Rue Saint Lambert 15th arr 75015 Paris France,6/30/2017,8.0,Mercure Paris 15 Porte de Versailles, United Kingdom ,18,221,14,7,6.7,"[' Leisure trip ', ' Family with young children ', ' Non Smoking Standard Room with 1 Double Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",34 days,48.8382542,2.2903494,France
6 Rue Saint Placide 6th arr 75006 Paris France,7/7/2017,8.4,Hotel Le Placide Saint Germain Des Pr s, United States of America ,42,123,16,2,7.5,"[' Leisure trip ', ' Couple ', ' Exclusive Double Room ', ' Stayed 5 nights ']",27 days,48.8498439,2.3244253,France
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,8/1/2017,8.9,Hotel VIU Milan, Netherlands ,50,219,34,21,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",2 days,45.488764,9.183057,Italy
6 Waterloo Place Westminster Borough London SW1Y 4AN United Kingdom,8/2/2017,9.2,Sofitel London St James, Canada ,19,1284,135,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Deluxe King Room ', ' Stayed 6 nights ']",1 days,51.5076044,-0.132266,United Kingdom
60 Hyde Park gate Kensington and Chelsea London SW7 5BB United Kingdom,7/19/2017,9.0,Baglioni Hotel London The Leading Hotels of the World, United Kingdom ,61,290,3,18,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",15 days,51.5017224,-0.1846243,United Kingdom
60 Pentonville Road Islington London N1 9LA United Kingdom,8/2/2017,8.6,DoubleTree by Hilton London Islington, Ireland ,20,2277,8,3,9.2,"[' Leisure trip ', ' Couple ', ' Double Room with Single Bed ', ' Stayed 1 night ']",1 days,51.5322508,-0.1095714,United Kingdom
60 rue Richer 9th arr 75009 Paris France,7/26/2017,8.8,Nell Hotel Suites, Australia ,20,165,19,4,8.3,"[' Leisure trip ', ' Family with young children ', ' Classic Apartment ', ' Stayed 3 nights ']",8 days,48.8741002,2.3426357,France
61 Gloucester Road Kensington and Chelsea London SW7 4PE United Kingdom,8/2/2017,8.1,Rydges Kensington Hotel, United Kingdom ,13,1057,18,3,7.1,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.4956883,-0.1827878,United Kingdom
61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,11/24/2015,8.9,Club Quarters Hotel Lincoln s Inn Fields, Croatia ,0,2692,32,11,8.8,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",618 day,51.5160988,-0.1181749,United Kingdom
61 Quai De Grenelle 15th arr 75015 Paris France,8/2/2017,7.6,Novotel Paris Centre Tour Eiffel, Turkey ,43,2310,0,1,2.5,"[' Leisure trip ', ' Family with young children ', ' Superior Room with 1 Double Bed and 1 Sofa Bed 2 places ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,48.8500283,2.2834126,France
61 rue de la Voute 12th arr 75012 Paris France,7/23/2017,7.7,Best Western Plus 61 Paris Nation Hotel, Canada ,35,795,0,1,5.0,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",11 days,48.8465653,2.4102405,France
62 Rue Des Mathurins 8th arr 75008 Paris France,7/21/2017,9.0,Hotel Monsieur, United Kingdom ,41,817,18,5,8.8,"[' Leisure trip ', ' Family with young children ', ' 2 Connecting Rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",13 days,48.8735135,2.3217457,France
62 Rue Saint Dominique 7th arr 75007 Paris France,8/3/2017,8.7,Hotel Saint Dominique, Australia ,40,516,30,7,8.3,"[' Leisure trip ', ' Group ', ' Comfort Double Room ', ' Stayed 5 nights ']",0 days,48.8599998,2.3087425,France
626 Chiswick High St Chiswick London W4 5RY United Kingdom,8/3/2017,8.5,Clayton Hotel Chiswick, United Kingdom ,4,1944,23,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 1 night ']",0 days,51.4924184,-0.2784701,United Kingdom
628 Western Avenue London W3 0TA United Kingdom,8/3/2017,8.9,Park Plaza London Park Royal, Belgium ,13,425,24,12,9.2,"[' Leisure trip ', ' Family with young children ', ' Superior King Room ', ' Stayed 3 nights ']",0 days,51.527262,-0.282992,United Kingdom
63 rue de Richelieu 2nd arr 75002 Paris France,7/27/2017,8.9,Hotel Malte Astotel, Australia ,0,121,26,5,10.0,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",7 days,48.8672474,2.33738,France
64 76 Hendon Way London NW2 2NL United Kingdom,7/23/2017,7.9,Best Western Palm Hotel, Italy ,37,2037,32,2,10.0,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']",11 days,51.5634756,-0.2042758,United Kingdom
64 Avenue Marceau 8th arr 75008 Paris France,7/17/2017,7.9,InterContinental Paris Avenue Marceau, Lebanon ,17,183,11,1,5.4,"[' Leisure trip ', ' Couple ', ' Superior Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",17 days,48.8706373,2.2982095,France
64 Boulevard de Grenelle 15th arr 75015 Paris France,7/29/2017,8.3,Mercure Tour Eiffel Grenelle, United Kingdom ,10,153,82,1,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",5 days,48.850448,2.2928845,France
64 Rue Crozatier 12th arr 75012 Paris France,7/12/2017,7.9,Mercure Paris Bastille Saint Antoine, China ,35,168,10,34,6.7,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",22 days,48.849574,2.3798518,France
64 Rue de l Arbre Sec 1st arr 75001 Paris France,5/5/2017,8.9,Boutique H tel Konfidentiel, United States of America ,36,86,41,5,9.6,"[' Leisure trip ', ' Solo traveler ', ' Large Deluxe Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",90 days,48.8612535,2.3426256,France
65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,8/2/2017,9.0,The Piccadilly London West End, Sweden ,10,2298,20,15,8.8,"[' Leisure trip ', ' Couple ', ' Premier Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1 days,51.5121957,-0.1318384,United Kingdom
65 rue Blanche 9th arr 75009 Paris France,7/24/2017,8.3,R Kipling by Happyculture, United Kingdom ,0,389,47,10,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room Tea Time Wine Tasting Included ', ' Stayed 2 nights ']",10 days,48.8820838,2.3315849,France
65 rue des Saints P res 6th arr 75006 Paris France,7/27/2017,8.8,Hotel Des Saints Peres Esprit de France, United States of America ,0,560,27,2,10.0,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",7 days,48.8534026,2.3299043,France
66 Boulevard Barb s 18th arr 75018 Paris France,7/31/2017,7.2,Best Western Hotel Montmartre Sacr Coeur, United Kingdom ,3,1201,28,4,7.9,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 2 nights ']",3 days,48.888539,2.3498459,France
66 Great Queen Street Covent Garden Camden London WC2B 5BX United Kingdom,8/3/2017,8.5,Kingsway Hall Hotel, United Kingdom ,3,1363,49,1,9.6,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ']",0 days,51.5158643,-0.1200625,United Kingdom
66 Knightsbridge Westminster Borough London SW1X 7LA United Kingdom,7/18/2017,8.5,Mandarin Oriental Hyde Park London, United Kingdom ,9,217,28,3,10.0,"[' Leisure trip ', ' Couple ', ' Twin Room with Courtyard View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16 days,51.5022081,-0.1599428,United Kingdom
67 rue Blanche 9th arr 75009 Paris France,7/28/2017,8.1,H tel Jos phine by Happyculture, United States of America ,0,395,56,1,10.0,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",6 days,48.8823141,2.3316688,France
68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,8/2/2017,8.2,Radisson Blu Edwardian Vanderbilt, Switzerland ,37,2665,10,1,7.1,"[' Leisure trip ', ' Couple ', ' Standard Single Room ', ' Stayed 9 nights ']",1 days,51.4953691,-0.1818966,United Kingdom
68 Boulevard De Clichy 18th arr 75018 Paris France,8/2/2017,8.2,Hotel Le Chat Noir, Australia ,29,705,87,23,10.0,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",1 days,48.8836255,2.3340538,France
68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,8/3/2017,9.3,Hotel Cafe Royal, New Zealand ,2,1128,26,1,10.0,"[' Leisure trip ', ' Couple ', ' Grand Superior King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5100916,-0.1359431,United Kingdom
69 Boulevard Victor 15th arr 75015 Paris France,8/1/2017,8.5,Mercure Vaugirard Paris Porte De Versailles, United States of America ,25,843,19,1,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ']",2 days,48.8330649,2.2879617,France
69 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,8/2/2017,8.2,Grange Rochester Hotel, United Kingdom ,27,1046,7,1,10.0,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",1 days,51.4942654,-0.1366026,United Kingdom
7 11 Queensberry Place Kensington and Chelsea London SW7 2DL United Kingdom,8/3/2017,6.9,Gainsborough Hotel, United Kingdom ,36,1884,4,2,9.6,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",0 days,51.4948416,-0.1772056,United Kingdom
7 11 Rue Saint Benoit 6th arr 75006 Paris France,7/21/2017,8.6,H tel Bel Ami, Egypt ,17,525,16,8,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Room with Spa Fitness Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",13 days,48.8550298,2.3332104,France
7 8 Park Place Westminster Borough London SW1A 1LP United Kingdom,7/28/2017,8.7,St James Hotel Club Mayfair, United States of America ,0,363,88,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 4 nights ']",6 days,51.5061587,-0.1402803,United Kingdom
7 9 Copthall Avenue City of London London EC2R 7NJ United Kingdom,8/2/2017,9.1,Apex London Wall Hotel, Hungary ,0,949,27,7,10.0,"[' Leisure trip ', ' Group ', ' City King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5160484,-0.0880181,United Kingdom
7 9 High Street Kensington Kensington and Chelsea London W8 5NP United Kingdom,8/3/2017,7.4,Seraphine Kensington Gardens Hotel, United Arab Emirates ,18,597,41,3,9.2,"[' Leisure trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",0 days,51.5021027,-0.187901,United Kingdom
7 9 rue du Conservatoire 9th arr 75009 Paris France,7/25/2017,9.0,Hotel de Nell, United Kingdom ,11,280,30,6,4.2,"[' Business trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",9 days,48.8732788,2.3466576,France
7 9 Rue Pierre Chausson 10th arr 75010 Paris France,7/26/2017,8.8,9Hotel Republique, Sweden ,59,857,17,5,6.7,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ']",8 days,48.8708419,2.3605864,France
7 Boulevard Bourdon 4th arr 75004 Paris France,7/14/2017,9.4,Goralska R sidences H tel Paris Bastille, Mexico ,0,107,36,7,10.0,"[' Leisure trip ', ' Couple ', ' Prestige Suite ', ' Stayed 1 night ']",20 days,48.8482842,2.3657251,France
7 Gracechurch Street City of London London EC3V 0DR United Kingdom,8/2/2017,8.2,Club Quarters Hotel Gracechurch, United Kingdom ,0,2996,64,7,9.2,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5127964,-0.0847973,United Kingdom
7 Montague Street Bloomsbury Camden London WC1B 5BP United Kingdom,7/24/2017,8.3,Grange Blooms Hotel, United Kingdom ,8,393,182,13,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",10 days,51.5196913,-0.1254243,United Kingdom
7 Pepys Street City of London London EC3N 4AF United Kingdom,8/3/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, United States of America ,0,7491,27,7,8.8,"[' Leisure trip ', ' Travelers with friends ', ' Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",0 days,51.5108412,-0.0780581,United Kingdom
7 rue Casimir Delavigne 6th arr 75006 Paris France,7/18/2017,9.0,H tel Baume, United States of America ,47,253,48,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",16 days,48.8501522,2.3392782,France
7 rue Cl ment Marot 8th arr 75008 Paris France,7/28/2017,8.8,Hotel West End, Australia ,7,452,30,16,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",6 days,48.8671391,2.3038447,France
7 rue d Argenson 8th arr 75008 Paris France,7/5/2017,8.4,Arioso, Australia ,38,218,14,2,7.5,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",29 days,48.8746066,2.3167195,France
7 rue de Berri 8th arr 75008 Paris France,7/20/2017,8.8,H tel Lancaster Paris Champs Elys es, Saudi Arabia ,39,254,5,18,7.1,"[' Leisure trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",14 days,48.8723438,2.3033378,France
7 Rue De L h tel Colbert 5th arr 75005 Paris France,8/3/2017,8.7,Melia Paris Notre Dame, United States of America ,34,214,55,1,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 6 nights ']",0 days,48.8515198,2.3486511,France
7 Rue des Petits H tels 10th arr 75010 Paris France,8/2/2017,8.6,Hotel Mademoiselle, United Kingdom ,19,853,54,4,9.6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",1 days,48.8772493,2.3543043,France
7 Rue Du Bourg L abb 3rd arr 75003 Paris France,6/25/2017,8.9,Hotel Les Bains Paris, United Kingdom ,36,153,13,6,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",39 days,48.863828,2.3519345,France
7 rue du G n ral de Larminat 15th arr 75015 Paris France,7/20/2017,8.8,Hotel Ares Eiffel, Indonesia ,2,667,183,13,9.6,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ']",14 days,48.8503276,2.2982022,France
7 Rue Magellan 8th arr 75008 Paris France,7/23/2017,8.7,Francois 1er, Saudi Arabia ,27,603,20,24,7.9,"[' Leisure trip ', ' Solo traveler ', ' 2 rooms ', ' Stayed 5 nights ']",11 days,48.8701887,2.2997281,France
7 Rue Paul Albert 18th arr 75018 Paris France,7/17/2017,8.1,H tel Montmartre Mon Amour, United Kingdom ,31,494,32,1,5.8,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']",17 days,48.886687,2.3449332,France
7 Rue Rennequin 17th arr 75017 Paris France,8/3/2017,7.9,Hotel Monceau Wagram, United States of America ,30,772,12,1,5.0,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",0 days,48.8808779,2.2989756,France
7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,8/3/2017,8.5,Novotel London Excel, United Kingdom ,32,1158,0,3,9.2,"[' Leisure trip ', ' Group ', ' Standard Queen Room with Sofa Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",0 days,51.5077198,0.0229805,United Kingdom
70 avenue des Champs Elysees 8th arr 75008 Paris France,7/14/2017,7.9,Paris Marriott Champs Elysees Hotel, India ,29,372,0,3,5.0,"[' Leisure trip ', ' Family with young children ', ' Deluxe Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",20 days,48.8711365,2.3050482,France
71 79 Southwark Street Southwark London SE1 0JA United Kingdom,7/28/2017,8.5,Mercure London Bridge, Australia ,16,947,15,5,8.3,"[' Leisure trip ', ' Group ', ' Classic Queen Room ', ' Stayed 3 nights ']",6 days,51.5052587,-0.099176,United Kingdom
71 Rue de Charonne 11th arr 75011 Paris France,7/31/2017,8.9,H tel Exquis by Elegancia, Thailand ,92,920,19,5,5.4,"[' Leisure trip ', ' Solo traveler ', ' Double Room Intemporelle ', ' Stayed 1 night ']",3 days,48.8536854,2.3805796,France
71 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,8/2/2017,8.8,Grange Wellington Hotel, United Kingdom ,43,1268,17,51,8.8,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']",1 days,51.4944319,-0.1363756,United Kingdom
74 rue Amelot 11th arr 75011 Paris France,8/3/2017,8.1,Les Jardins Du Marais, United Kingdom ,34,838,5,6,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",0 days,48.8605219,2.3680239,France
75 Gower Street Camden London WC1E 6HJ United Kingdom,8/2/2017,6.4,Hotel Cavendish, United Kingdom ,38,2275,147,1,8.8,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ']",1 days,51.5220522,-0.132414,United Kingdom
